Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Squadra,Piede,Casella di gruppo
Laterale (38),0:54:30.666,0:00:07.000,06/01/2025,Laterale,bara,digao,erick,nic,ricky,,,9,Noi,,
Tiro (23),0:54:42.966,0:00:07.000,06/01/2025,Tiro,bara,digao,erick,nic,ricky,,Fuori,9,Noi,Sx,
Laterale (39),0:55:01.133,0:00:07.000,06/01/2025,Laterale,bara,digao,erick,nic,ricky,,,0,Loro,,
Laterale (40),0:55:23.266,0:00:07.000,06/01/2025,Laterale,bara,digao,erick,nic,ricky,,,0,Noi,,
Palla persa (21),0:55:43.433,0:00:10.000,06/01/2025,Palla persa,bara,digao,erick,nic,ricky,giovi,Costruzione,0,,,
Fine primo tempo (1),0:55:52.300,0:00:10.000,06/01/2025,Fine primo tempo,bara,digao,erick,nic,ricky,,,,,,
Inizio (5),1:05:08.233,0:00:10.000,06/01/2025,Inizio,bara,deba,mattia,zanna,scanta,,,,,,
Palla persa (22),1:05:22.566,0:00:10.000,06/01/2025,Palla persa,,deba,mattia,zanna,scanta,zanna,,5,,,
Lancio (3),1:05:28.100,0:00:10.000,06/01/2025,Lancio,,deba,mattia,zanna,scanta,,,,Noi,,
Palla persa (23),1:05:35.500,0:00:10.000,06/01/2025,Palla persa,,deba,mattia,zanna,scanta,scanta,Costruzione,0,,,
Laterale (41),1:05:50.500,0:00:07.000,06/01/2025,Laterale,bara,deba,mattia,zanna,scanta,,,0,Noi,,
Laterale (42),1:05:57.700,0:00:07.000,06/01/2025,Laterale,bara,deba,mattia,zanna,scanta,,,1,Noi,,
Fallo (7),1:06:12.366,0:00:04.000,06/01/2025,Fallo,bara,deba,mattia,zanna,scanta,scanta,,7,Loro,,
Punizione (7),1:06:41.833,0:00:06.000,06/01/2025,Punizione,bara,deba,mattia,scanta,erick,deba,Gol,7,Noi,Dx,
Gol (4),1:06:44.366,0:00:07.000,06/01/2025,Gol,bara,deba,mattia,scanta,erick,deba,,7,Noi,Dx,
Inizio avversario (2),1:07:07.566,0:00:10.000,06/01/2025,Inizio avversario,bara,deba,mattia,scanta,zanna,,,,,,
Laterale (43),1:07:24.433,0:00:07.000,06/01/2025,Laterale,bara,deba,mattia,scanta,zanna,,,3,Noi,,
Palla recuperata (20),1:07:41.966,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,mattia,scanta,zanna,scanta,Fuori,0,,,
Laterale (44),1:07:47.900,0:00:07.000,06/01/2025,Laterale,bara,deba,mattia,scanta,zanna,,,0,Loro,,
