Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Casella di gruppo,Squadra,Piede
Palla persa (13),0:43:18.033,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,mattia,deba,scanta,scanta,,0,,,
Tiro (19),0:43:30.366,0:00:07.000,04/01/2025,Tiro,giovi,fabri,mattia,deba,scanta,fabri,Ribattuto,9,,Loro,Dx
Laterale (20),0:43:43.333,0:00:07.000,04/01/2025,Laterale,giovi,fabri,mattia,deba,scanta,,,6,,Loro,
Tiro (20),0:43:45.633,0:00:07.000,04/01/2025,Tiro,giovi,fabri,mattia,deba,scanta,,Parata,6,,Loro,Dx
Palla persa (14),0:43:55.866,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,mattia,deba,scanta,deba,Fuori,6,,,
Laterale (21),0:44:06.000,0:00:07.000,04/01/2025,Laterale,giovi,fabri,ricky,erick,nic,,,6,,Noi,
Palla persa (15),0:44:23.366,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,ricky,erick,nic,scanta,,0,,,
Laterale (22),0:44:43.166,0:00:07.000,04/01/2025,Laterale,giovi,fabri,ricky,erick,nic,,,0,,Noi,
Palla persa (16),0:44:53.933,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,ricky,erick,nic,scanta,,0,,,
Palla recuperata (17),0:44:56.700,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,ricky,erick,nic,scanta,Costruzione,0,,,
Lancio (6),0:45:02.600,0:00:10.000,04/01/2025,Lancio,giovi,fabri,ricky,erick,nic,,Fuori,,,Noi,
Fallo (7),0:45:18.600,0:00:04.000,04/01/2025,Fallo,giovi,fabri,ricky,erick,nic,scanta,,2,,Noi,
Punizione (4),0:45:54.666,0:00:06.000,04/01/2025,Punizione,giovi,fabri,ricky,erick,nic,,Ribattuto,2,,Loro,Dx
Tiro (21),0:46:07.133,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,erick,nic,,Parata,9,,Loro,Sx
Palla recuperata (18),0:46:17.233,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,ricky,erick,nic,scanta,Fuori,0,,,
Laterale (23),0:46:28.300,0:00:07.000,04/01/2025,Laterale,giovi,fabri,ricky,erick,nic,,,0,,Loro,
Palla recuperata (19),0:46:35.900,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,ricky,erick,nic,erick,Tiro,1,,,
Tiro (22),0:46:46.600,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,erick,nic,,Parata,4,,Loro,Dx
Palla recuperata (20),0:46:52.466,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,ricky,erick,nic,scanta,Tiro,0,,,
Tiro (23),0:46:55.000,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,erick,nic,erick,Gol,4,,Noi,Sx
Gol (2),0:46:59.333,0:00:07.000,04/01/2025,Gol,giovi,fabri,ricky,erick,nic,erick,,4,,Noi,Sx
Inizio avversario (3),0:47:25.633,0:00:10.000,04/01/2025,Inizio avversario,giovi,fabri,ricky,erick,nic,,,,,,
Palla persa (17),0:47:46.133,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,ricky,erick,nic,ricky,Costruzione,3,,,
Tiro (24),0:48:24.566,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,erick,nic,,Parata,3,,Loro,Dx
Palla persa (18),0:48:44.100,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,ricky,erick,nic,fabri,,0,,,
Tiro (25),0:48:46.466,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,erick,nic,,Fuori,4,,Loro,Sx
Lancio (7),0:49:03.466,0:00:10.000,04/01/2025,Lancio,giovi,fabri,ricky,erick,nic,,Fuori,,,Noi,
Palla recuperata (21),0:49:18.700,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,ricky,erick,nic,nic,Tiro,2,,,
Tiro (26),0:49:23.266,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,erick,nic,nic,Fuori,5,,Noi,Sx
Tiro (27),0:49:43.666,0:00:07.000,04/01/2025,Tiro,giovi,fabri,ricky,erick,nic,,Fuori,8,,Loro,Sx
Palla persa (19),0:50:08.900,0:00:10.000,04/01/2025,Palla persa,giovi,erick,nic,zanna,deba,nic,,0,,,
Laterale (24),0:50:14.166,0:00:07.000,04/01/2025,Laterale,giovi,erick,nic,zanna,deba,,,0,,Loro,
Tiro (28),0:50:28.233,0:00:07.000,04/01/2025,Tiro,giovi,erick,nic,zanna,deba,,Parata,8,,Loro,Dx
Laterale (25),0:50:41.566,0:00:07.000,04/01/2025,Laterale,giovi,erick,nic,zanna,deba,,,4,,Loro,
Fallo (8),0:51:08.333,0:00:04.000,04/01/2025,Fallo,giovi,erick,nic,zanna,deba,deba,,4,,Loro,
Punizione (5),0:51:34.133,0:00:06.000,04/01/2025,Punizione,giovi,erick,deba,fabri,mattia,,Fuori,4,,Noi,Dx
Tiro (29),0:51:54.900,0:00:07.000,04/01/2025,Tiro,giovi,erick,deba,fabri,mattia,,Parata,8,,Loro,Dx
Palla recuperata (22),0:52:18.100,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,deba,fabri,mattia,zanna,Fuori,0,,,
Da rivedere (2),0:52:37.300,0:00:10.000,04/01/2025,Da rivedere,giovi,erick,deba,fabri,mattia,,,,,,
Laterale (26),0:52:40.100,0:00:07.000,04/01/2025,Laterale,giovi,erick,deba,fabri,mattia,,,0,,Loro,
Palla recuperata (23),0:52:43.833,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,deba,fabri,mattia,erick,Tiro,3,,,
Tiro (30),0:52:45.500,0:00:07.000,04/01/2025,Tiro,giovi,erick,deba,fabri,mattia,erick,Fuori,2,,Noi,Sx
Fallo (9),0:53:07.966,0:00:04.000,04/01/2025,Fallo,giovi,erick,deba,fabri,mattia,mattia,,0,,Loro,
Da rivedere (3),0:53:30.566,0:00:10.000,04/01/2025,Da rivedere,giovi,erick,deba,fabri,mattia,,,,,,
Palla recuperata (24),0:53:34.633,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,deba,fabri,mattia,deba,Costruzione,2,,,
Ammonizione (2),0:54:36.166,0:00:10.000,04/01/2025,Ammonizione,giovi,erick,deba,fabri,mattia,,,,,Loro,
Espulsione (1),0:55:29.866,0:00:10.000,04/01/2025,Espulsione,giovi,erick,deba,fabri,mattia,,,,,Loro,
Espulsione (2),0:55:45.166,0:00:10.000,04/01/2025,Espulsione,giovi,erick,deba,fabri,mattia,zanna,,,,Noi,
Laterale (27),0:58:40.800,0:00:07.000,04/01/2025,Laterale,giovi,fabri,ricky,scanta,,,,0,,Loro,
4v3 (1),0:58:44.100,0:00:10.000,04/01/2025,4v3,giovi,fabri,ricky,scanta,,,,,,Loro,
