Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Squadra,Field Position,Esito,Piede,Chi,Casella di gruppo
Laterale (40),0:26:28.160,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,azza,nico estratti,Loro,0,,,,
Integrazione portier (3),0:26:38.080,0:00:10.000,23/01/2025,Integrazione portier,giovi,diego jr,fabri,azza,nico estratti,Loro,,,,,
Fallo (4),0:26:49.240,0:00:04.000,23/01/2025,Fallo,giovi,diego jr,fabri,azza,nico estratti,Noi,3,,,,
Punizione (4),0:27:02.000,0:00:06.000,23/01/2025,Punizione,giovi,diego jr,fabri,azza,nico estratti,Loro,3,Fuori,,,
Tiro (24),0:27:33.400,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,azza,nico estratti,Noi,9,Fuori,Sx,diego jr,
Fallo (5),0:27:58.480,0:00:04.000,23/01/2025,Fallo,giovi,diego jr,fabri,azza,nico estratti,Loro,3,,,,
Punizione (5),0:29:11.720,0:00:06.000,23/01/2025,Punizione,giovi,diego jr,fabri,azza,nico estratti,Noi,3,Parata,,fabri,
Laterale (41),0:29:37.800,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,digao,azza,nico estratti,Noi,3,,,,
Palla persa (4),0:29:49.080,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,digao,azza,nico estratti,,2,Tiro,,azza,
Tiro (25),0:29:51.360,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,digao,azza,nico estratti,Loro,2,Parata,,,
Laterale (42),0:29:57.800,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,digao,azza,nico estratti,Loro,0,,,,
Palla recuperata (7),0:30:02.440,0:00:10.000,23/01/2025,Palla recuperata,giovi,diego jr,digao,azza,nico estratti,,0,Ripartenza,,azza,
3v2 (1),0:30:04.160,0:00:10.000,23/01/2025,,giovi,diego jr,digao,azza,nico estratti,Noi,,,,,3v2
Tiro (26),0:30:06.480,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,digao,azza,nico estratti,Noi,7,Parata,Sx,azza,
Angolo (9),0:30:16.760,0:00:08.000,23/01/2025,Angolo,giovi,diego jr,digao,azza,nico estratti,Noi,,,,,
Tiro (27),0:30:26.360,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,digao,azza,nico estratti,Noi,7,Fuori,Sx,diego jr,
Tiro (28),0:30:38.080,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,digao,azza,nico estratti,Loro,6,Parata,Sx,,
Angolo (10),0:30:55.240,0:00:08.000,23/01/2025,Angolo,giovi,diego jr,ricky,azza,nico estratti,Loro,,,,,
Laterale (43),0:31:04.920,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,ricky,azza,nico estratti,Loro,0,,,,
Laterale (44),0:31:25.560,0:00:07.000,23/01/2025,Laterale,giovi,nico estratti,digao,ricky,nic,Noi,0,,,,
Palla persa (5),0:31:29.640,0:00:10.000,23/01/2025,Palla persa,giovi,nico estratti,digao,ricky,nic,,,Ripartenza,,digao,
2v2 (2),0:31:32.400,0:00:10.000,23/01/2025,,giovi,nico estratti,digao,ricky,nic,,,,,,2v2
Tiro (29),0:31:32.400,0:00:07.000,23/01/2025,Tiro,giovi,nico estratti,digao,ricky,nic,Loro,9,Parata,Sx,,
Lancio (8),0:31:35.200,0:00:10.000,23/01/2025,Lancio,giovi,nico estratti,digao,ricky,nic,Noi,,Fuori,,,
Da rivedere (1),0:31:56.200,0:00:10.000,23/01/2025,Da rivedere,giovi,nico estratti,digao,ricky,nic,,,,,,
Laterale (45),0:32:04.200,0:00:07.000,23/01/2025,Laterale,giovi,nico estratti,digao,ricky,nic,Loro,1,,,,
Tiro (30),0:32:15.600,0:00:07.000,23/01/2025,Tiro,giovi,nico estratti,digao,ricky,nic,Loro,4,Ribattuto,Sx,,
Angolo (11),0:32:34.080,0:00:08.000,23/01/2025,Angolo,giovi,nico estratti,digao,ricky,nic,Loro,,,,,
Tiro (31),0:32:35.320,0:00:07.000,23/01/2025,Tiro,giovi,nico estratti,digao,ricky,nic,Loro,6,Fuori,Dx,,
Laterale (46),0:32:53.840,0:00:07.000,23/01/2025,Laterale,giovi,digao,ricky,nic,erick,Loro,0,,,,
Laterale (47),0:33:06.400,0:00:07.000,23/01/2025,Laterale,giovi,digao,ricky,nic,erick,Noi,0,,,,
Laterale (48),0:33:20.040,0:00:07.000,23/01/2025,Laterale,giovi,digao,ricky,nic,erick,Noi,,,,,
Integrazione portier (4),0:33:23.400,0:00:10.000,23/01/2025,Integrazione portier,giovi,digao,ricky,nic,erick,Noi,,,,,
Laterale (49),0:33:37.240,0:00:07.000,23/01/2025,Laterale,giovi,digao,ricky,nic,erick,Noi,6,,,,
Tiro (32),0:34:01.240,0:00:07.000,23/01/2025,Tiro,giovi,digao,ricky,nic,erick,Noi,6,Parata,Dx,nic,
Laterale (50),0:34:13.720,0:00:07.000,23/01/2025,Laterale,giovi,digao,ricky,nic,erick,Noi,3,,,,
Laterale (51),0:34:29.280,0:00:07.000,23/01/2025,Laterale,giovi,digao,ricky,nic,erick,Noi,9,,,,
Tiro (33),0:34:55.520,0:00:07.000,23/01/2025,Tiro,giovi,nic,erick,azza,fabri,Noi,2,Ribattuto,Dx,fabri,
Palla persa (6),0:35:06.920,0:00:10.000,23/01/2025,Palla persa,giovi,nic,erick,azza,fabri,,2,Tiro,,nic,
Tiro (34),0:35:09.960,0:00:07.000,23/01/2025,Tiro,giovi,nic,erick,azza,fabri,Loro,,Ribattuto,Sx,,
Angolo (12),0:35:27.440,0:00:08.000,23/01/2025,Angolo,giovi,nic,erick,azza,fabri,Loro,,,,,
Palla persa (7),0:35:29.200,0:00:10.000,23/01/2025,Palla persa,giovi,nic,erick,azza,fabri,Noi,4,Fuori,,erick,
Laterale (52),0:35:51.160,0:00:07.000,23/01/2025,Laterale,giovi,nic,erick,azza,fabri,Loro,4,,,,
Tiro (35),0:35:55.560,0:00:07.000,23/01/2025,Tiro,giovi,nic,erick,azza,fabri,Loro,2,Fuori,Dx,,
Lancio (9),0:36:28.400,0:00:10.000,23/01/2025,Lancio,giovi,nic,erick,azza,fabri,Noi,,Intercetto,,,
Laterale (53),0:36:37.000,0:00:07.000,23/01/2025,Laterale,giovi,nic,erick,azza,fabri,Noi,6,,,,
Tiro (36),0:36:38.320,0:00:07.000,23/01/2025,Tiro,giovi,nic,erick,azza,fabri,Noi,2,Fuori,Dx,fabri,
Laterale (54),0:36:59.440,0:00:07.000,23/01/2025,Laterale,giovi,nic,erick,azza,fabri,Noi,0,,,,
Laterale (55),0:37:12.760,0:00:07.000,23/01/2025,Laterale,giovi,nic,erick,azza,fabri,Loro,1,,,,
Palla recuperata (8),0:37:34.320,0:00:10.000,23/01/2025,Palla recuperata,giovi,nic,erick,azza,fabri,Noi,9,Fuori,,fabri,
Laterale (56),0:37:35.440,0:00:07.000,23/01/2025,Laterale,giovi,nic,erick,azza,fabri,Loro,0,,,,
Palla persa (8),0:37:55.720,0:00:10.000,23/01/2025,Palla persa,giovi,nic,erick,azza,fabri,,,Ripartenza,,,
Tiro (37),0:37:56.640,0:00:07.000,23/01/2025,Tiro,giovi,nic,erick,azza,fabri,Loro,2,Fuori,Sx,,
Lancio (10),0:38:01.280,0:00:10.000,23/01/2025,Lancio,giovi,nic,erick,azza,fabri,Noi,,,,,
Laterale (57),0:38:12.640,0:00:07.000,23/01/2025,Laterale,giovi,nic,erick,azza,fabri,Noi,6,,,,
Tiro (38),0:38:21.400,0:00:07.000,23/01/2025,Tiro,giovi,nic,erick,azza,fabri,Loro,6,Parata,Dx,,
Angolo (13),0:38:37.640,0:00:08.000,23/01/2025,Angolo,giovi,nic,erick,azza,fabri,Loro,,,,,
Laterale (58),0:39:09.520,0:00:07.000,23/01/2025,Laterale,giovi,erick,azza,fabri,diego jr,Noi,3,,,,
